flow,origin,destination
0.0,53033020800,53033022006
0.0,53033020800,53033022604
0.0,53033020800,53033022801
0.0,53033020800,53033022803
0.0,53033020800,53033030004
0.0,53033020800,53033030311
0.0,53033020800,53033000700
0.0,53033020800,53033003000
0.0,53033020800,53033006600
0.0,53033020800,53033006900
0.0,53033020800,53033008200
0.0,53033020800,53033011800
0.0,53033020800,53033020200
49.1371924517891,53033020800,53033020300
0.0,53033020800,53033021500
0.0,53033020800,53033032328
0.0,53033020800,53033001400
0.0,53033020800,53033001800
0.0,53033020800,53033002000
0.0,53033020800,53033028402
0.0,53033020800,53033032002
0.0,53033020800,53033032103
0.0,53033020800,53033026400
0.0,53033020800,53033028801
0.0,53033020800,53033028901
0.0,53033020800,53033025400
0.0,53033020800,53033026600
0.0,53033020800,53033026801
0.0,53033020800,53033027200
0.0,53033020800,53033021802
0.0,53033020800,53033021903
0.0,53033020800,53033023601
0.0,53033020800,53033026200
0.0,53033020800,53033029802
0.0,53033020800,53033006500
0.0,53033020800,53033007500
0.0,53033020800,53033008001
0.0,53033020800,53033008100
0.0,53033020800,53033008600
0.0,53033020800,53033010800
0.0,53033020800,53033011200
0.0,53033020800,53033011900
0.0,53033020800,53033021804
0.0,53033020800,53033022005
0.0,53033020800,53033023401
0.0,53033020800,53033024702
0.0,53033020800,53033001702
0.0,53033020800,53033004301
0.0,53033020800,53033004302
0.0,53033020800,53033007402
0.0,53033020800,53033010001
0.0,53033020800,53033010002
0.0,53033020800,53033001701
0.0,53033020800,53033007401
0.0,53033020800,53033010402
0.0,53033020800,53033010702
0.0,53033020800,53033010401
0.0,53033020800,53033010701
0.0,53033020800,53033011001
0.0,53033020800,53033011002
0.0,53033020800,53033032800
0.0,53033020800,53033000100
0.0,53033020800,53033000800
0.0,53033020800,53033001000
0.0,53033020800,53033001200
0.0,53033020800,53033001900
0.0,53033020800,53033003400
0.0,53033020800,53033022603
0.0,53033020800,53033022605
0.0,53033020800,53033022802
0.0,53033020800,53033023202
0.0,53033020800,53033023700
0.0,53033020800,53033025701
0.0,53033020800,53033026500
0.0,53033020800,53033027000
0.0,53033020800,53033027701
